Код;Название;Цена;Мингод;Конкурс;Мин;МестОбщ;Бюдж;Целевик;Квота;Плат;Экз;Документы
450301;Филология. Зарубежная филология (Финский язык и литература);138 100,00 рублей;189;11,1;125;14;8;1;0;5;Русский язык, Литература, Обществознание/Иностранный язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
450301;"Филология. Профиль ""Зарубежная филология (Английский язык и литература, немецкий язык)""";138 100,00 рублей;217;8,3;110;14;7;1;1;5;Иностранный язык, Русский язык, Литература;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
450301;"Филология. Профиль ""Зарубежная филология (Финский язык и литература, вепсский язык)""";138 100,00 рублей;213;14;125;9;2;1;1;5;Русский язык, Литература, Обществознание/Иностранный язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
450301;"Филология. Профиль ""Зарубежная филология (Финский язык и литература, карельский язык)""";138 100,00 рублей;204;13,2;125;13;6;1;1;5;Русский язык, Литература, Обществознание/Иностранный язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
450301;"Филология. Профиль ""Зарубежная филология (Шведский язык и литература, английский язык)""";138 100,00 рублей;250;8,8;110;14;7;1;1;5;Иностранный язык, Русский язык, Литература;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
450301;"Филология. Профиль ""Классическая филология""";138 100,00 рублей;228;12,8;125;13;6;1;1;5;Русский язык, Литература, Обществознание/Иностранный язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
450301;"Филология. Профиль ""Прикладная филология (Русский язык и литература)""";138 100,00 рублей;253;13,3;125;14;8;1;0;5;Русский язык, Литература, Обществознание/Иностранный язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
450302;"Лингвистика. Профиль ""Русский язык как иностранный""";138 100,00 рублей;156(платное);нет информации;115;15;0;0;0;15;Русский язык, Иностранный язык, Обществознание/Литература;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
450302;"Лингвистика. Профиль ""Русский язык как иностранный. Китайский язык""";138 100,00 рублей;156(платное);нет информации;115;15;0;0;0;15;Русский язык, Иностранный язык, Обществознание/Литература;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
380301;"Экономика. Профиль ""Финансы, кредит и бухгалтерский учет""";138 100,00 рублей;228;13,4;124;45;22;5;3;15;Математика, Обществознание/Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
380302;"Менеджмент. Профиль ""Финансовый менеджмент""";138 100,00 рублей;220;13,2;124;45;24;3;3;15;Математика, Обществознание/Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
400301;Юриспруденция;138 100,00 рублей;нет информации;нет информации;120;26;4;1;1;20;Обществознание, Русский язык, История/Иностранный язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
310501;"Лечебное дело. Специализация ""Лечебное дело""";191 600,00 рублей;157;4,8;150;181;117;0;14;50;Химия, Биология, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
310502;"Педиатрия. Специализация ""Педиатрия""";191 600,00 рублей;166;6,5;150;68;52;0;6;10;Химия, Биология, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
